Age,CityTier,PitchDuration_Cap,NumberOfPersonVisiting,NumberOfFollowups,Product_Tier,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,MonthlyIncome,NumAdultsVisiting,IncomePerPerson,TypeofContact_Self Enquiry,Occupation_Large Business,Occupation_Salaried,Occupation_Small Business,Gender_Male,MaritalStatus_Married,MaritalStatus_Single,MaritalStatus_Unmarried,Designation_Executive,Designation_Manager,Designation_Senior Manager,Designation_VP,predicted_label,prediction_probability,true_label,correct_prediction
31,3,12,3,2,3,3,5,0,5,1,2,20460,1,6820.0,True,False,False,True,True,True,False,False,False,True,False,False,0,5.158322e-08,0,True
41,1,16,3,4,4,5,5,0,1,1,0,32181,3,10727.0,False,False,True,False,True,True,False,False,False,False,False,False,0,0.004520697,0,True
33,1,6,3,3,2,3,2,1,1,1,0,28458,3,9486.0,False,False,True,False,False,False,False,True,False,False,True,False,0,1.2766034e-06,0,True
38,3,9,2,3,3,3,1,1,3,1,1,21861,1,10930.5,True,False,True,False,True,False,False,True,False,True,False,False,0,0.0010666298,0,True
53,3,13,3,4,2,3,1,1,2,0,0,25934,3,8644.666667,True,False,False,True,False,False,False,False,False,False,True,False,0,0.016330127,0,True
36,1,12,2,5,1,3,2,0,1,1,0,17741,2,8870.5,True,False,True,False,True,True,False,False,True,False,False,False,0,0.00012863408,0,True
56,1,9,4,4,2,4,5,0,2,1,2,29654,2,7413.5,False,False,True,False,True,False,False,False,False,False,True,False,0,0.00092677766,0,True
38,2,13,4,4,1,5,6,1,2,1,1,20751,3,5187.75,True,False,True,False,True,True,False,False,True,False,False,False,1,0.9558067,1,True
40,1,29,3,4,2,5,3,1,5,1,1,29558,2,9852.666667,False,False,False,True,False,False,True,False,False,False,True,False,0,0.003643779,0,True
22,1,17,2,3,1,4,2,0,1,1,1,17244,1,8622.0,True,False,False,True,False,True,False,False,True,False,False,False,0,2.0580555e-06,0,True
51,1,35,4,3,1,3,3,1,2,1,3,21899,1,5474.75,True,False,False,True,True,False,False,False,True,False,False,False,0,0.0025909583,0,True
36,1,17,3,4,1,3,3,0,5,0,1,22595,2,7531.666667,True,False,True,False,True,True,False,False,True,False,False,False,0,6.5370186e-05,0,True
41,1,22,4,5,2,3,3,0,1,1,2,29113,2,7278.25,True,False,True,False,False,True,False,False,False,False,True,False,0,2.3822652e-06,0,True
30,3,32,2,4,3,5,6,0,1,1,1,21696,1,10848.0,False,False,False,True,False,False,False,True,False,True,False,False,1,0.9432246,1,True
22,1,25,3,3,1,3,2,0,2,0,1,17323,2,5774.333333,True,False,False,True,True,False,False,False,True,False,False,False,0,4.1049275e-06,0,True
35,3,9,4,4,1,3,8,0,5,0,1,20909,3,5227.25,False,False,False,True,False,True,False,False,True,False,False,False,0,1.9887639e-07,0,True
22,1,12,3,3,1,3,1,0,1,1,1,17773,2,5924.333333,True,False,False,True,True,True,False,False,True,False,False,False,0,3.330826e-08,0,True
45,1,6,3,2,5,3,1,0,4,1,2,34202,1,11400.66667,True,False,True,False,True,False,False,False,False,False,False,True,0,9.439385e-10,0,True
43,1,19,3,4,1,4,2,0,1,1,2,21444,1,7148.0,True,False,False,True,True,True,False,False,True,False,False,False,0,2.169512e-05,0,True
34,1,21,4,4,1,4,3,0,5,0,1,21434,3,5358.5,True,False,False,True,False,False,False,False,True,False,False,False,0,0.009590954,0,True
38,1,7,3,5,3,3,3,0,2,1,2,25152,1,8384.0,True,False,True,False,False,False,False,False,False,True,False,False,0,9.43328e-07,0,True
27,1,15,2,3,1,4,2,0,3,1,0,17279,2,8639.5,True,False,False,True,False,False,True,False,True,False,False,False,0,0.025867637,0,True
36,1,13,3,6,3,3,3,0,5,0,2,25324,1,8441.333333,True,False,True,False,True,False,False,True,False,True,False,False,0,0.00087279064,0,True
18,1,14,3,3,1,3,2,0,5,1,0,16904,3,5634.666667,False,False,False,True,True,False,True,False,True,False,False,False,1,0.9791233,1,True
44,1,9,4,4,1,3,8,1,3,0,1,28909,3,7227.25,False,False,True,False,True,True,False,False,True,False,False,False,1,0.8724649,1,True
48,3,9,4,5,1,3,3,1,1,0,1,21972,3,5493.0,True,False,True,False,False,False,False,True,True,False,False,False,0,0.064095914,0,True
45,1,16,4,4,1,5,3,1,3,1,1,21237,3,5309.25,True,False,True,False,True,False,False,False,True,False,False,False,1,0.7717441,0,False
30,1,28,3,3,2,5,3,0,5,1,2,28658,1,9552.666667,True,False,True,False,False,True,False,False,False,False,True,False,0,1.2795896e-06,0,True
29,3,25,3,4,3,3,2,0,4,1,0,23620,3,7873.333333,True,False,True,False,True,True,False,False,False,True,False,False,0,1.4960753e-08,0,True
54,1,31,3,2,2,3,5,0,3,0,2,25683,1,8561.0,True,False,False,True,True,True,False,False,False,False,True,False,0,1.4953307e-05,0,True
34,1,10,4,4,1,5,3,1,5,1,1,22026,3,5506.5,False,False,True,False,True,False,False,True,True,False,False,False,1,0.9999666,1,True
36,3,8,3,4,2,3,2,0,2,1,0,22596,3,7532.0,True,False,False,True,True,False,False,False,False,False,True,False,0,0.002394807,0,True
30,1,7,3,4,3,3,3,0,3,0,2,22997,1,7665.666667,False,True,False,False,True,False,False,False,False,True,False,False,0,5.0000042e-05,0,True
30,3,17,3,5,3,4,3,1,5,0,2,26946,1,8982.0,True,False,False,True,False,True,False,False,False,True,False,False,0,0.0007316521,0,True
36,2,15,4,4,1,3,3,0,5,0,2,23001,2,5750.25,True,True,False,False,True,False,False,True,True,False,False,False,0,0.08064946,0,True
34,1,13,2,3,1,3,2,0,1,0,1,17972,1,8986.0,True,False,False,True,True,False,True,False,True,False,False,False,0,1.6553122e-09,0,True
31,3,12,3,5,3,3,5,1,3,0,2,21172,1,7057.333333,True,False,True,False,True,True,False,False,False,True,False,False,1,0.9802477,1,True
35,1,14,3,4,2,4,2,0,5,0,1,30672,2,10224.0,True,False,True,False,False,False,True,False,False,False,True,False,0,6.687622e-07,0,True
50,1,14,3,5,2,3,2,0,2,1,2,29643,1,9881.0,True,False,True,False,True,False,True,False,False,False,True,False,0,0.0004983955,0,True
38,1,15,3,3,1,3,2,0,2,1,1,17288,2,5762.666667,True,False,True,False,False,False,True,False,True,False,False,False,0,0.007406892,0,True
51,1,12,2,3,5,3,1,0,5,1,1,34537,1,17268.5,True,False,True,False,True,False,True,False,False,False,False,True,0,1.1122107e-06,0,True
40,1,8,2,4,1,3,1,1,3,0,0,17342,2,8671.0,True,False,False,True,False,False,True,False,True,False,False,False,1,0.9724761,0,False
42,1,8,2,3,2,3,3,1,3,1,0,25124,2,12562.0,False,False,True,False,True,True,False,False,False,False,True,False,0,0.026273666,0,True
33,1,31,2,4,1,4,5,1,4,0,0,17313,2,8656.5,True,False,False,True,True,False,True,False,True,False,False,False,1,0.99178416,1,True
36,1,11,2,3,2,5,5,0,4,1,1,23008,1,11504.0,True,False,True,False,False,True,False,False,False,False,True,False,0,3.386251e-07,0,True
28,1,13,3,5,1,3,3,0,1,1,2,21217,1,7072.333333,True,False,True,False,True,True,False,False,True,False,False,False,0,6.0294267e-05,0,True
50,3,15,3,5,4,4,8,0,4,1,1,31798,2,10599.33333,True,True,False,False,True,False,False,False,False,False,False,False,0,0.0034612496,0,True
30,1,9,2,3,1,5,6,1,4,1,1,17657,1,8828.5,True,True,False,False,False,False,True,False,True,False,False,False,1,0.99412346,1,True
38,2,13,4,4,1,5,6,1,1,0,3,20751,1,5187.75,True,False,True,False,True,True,False,False,True,False,False,False,1,0.99742264,1,True
53,1,15,3,4,1,5,2,0,1,1,2,21628,1,7209.333333,True,False,True,False,False,False,False,False,True,False,False,False,0,0.004899717,0,True
26,1,6,3,4,1,3,2,0,1,0,0,17007,3,5669.0,False,False,False,True,False,True,False,False,True,False,False,False,0,7.0905687e-10,0,True
35,1,10,3,4,3,3,2,0,2,1,1,26434,2,8811.333333,False,False,True,False,True,False,False,True,False,True,False,False,0,0.000101064004,0,True
39,1,6,3,3,1,3,1,0,3,1,0,17232,3,5744.0,True,False,False,True,False,True,False,False,True,False,False,False,0,3.7686946e-06,0,True
31,3,11,4,5,3,4,3,1,3,1,1,23887,3,5971.75,True,False,False,True,False,True,False,False,False,True,False,False,0,0.004234832,0,True
30,1,36,4,6,3,3,2,0,5,1,3,25062,1,6265.5,True,False,True,False,True,True,False,False,False,True,False,False,0,2.2706106e-05,0,True
27,1,7,4,4,1,5,2,0,5,1,3,21545,1,5386.25,True,False,False,True,True,False,False,True,True,False,False,False,1,0.9873815,0,False
53,1,10,3,5,2,3,4,1,1,1,1,26647,2,8882.333333,True,False,False,True,True,True,False,False,False,False,True,False,0,0.00071918115,0,True
32,1,11,2,4,3,3,1,0,1,0,1,24679,1,12339.5,True,False,True,False,True,False,False,True,False,True,False,False,0,6.9116165e-13,0,True
26,3,10,4,4,3,5,3,1,4,1,1,22872,3,5718.0,True,False,True,False,True,False,False,False,False,True,False,False,0,0.0032187628,0,True
33,1,7,4,4,1,3,2,0,5,0,1,20992,3,5248.0,False,False,True,False,True,True,False,False,True,False,False,False,0,0.001885496,0,True
20,3,27,2,1,1,3,2,0,3,1,1,17678,1,8839.0,True,False,False,True,True,False,True,False,True,False,False,False,0,0.0026178164,0,True
39,1,32,3,5,2,4,5,0,3,0,2,30739,1,10246.33333,True,False,True,False,False,True,False,False,False,False,True,False,0,1.2033895e-08,0,True
45,1,24,4,6,1,3,4,0,4,1,1,20968,3,5242.0,False,False,True,False,True,False,True,False,True,False,False,False,0,0.0026088648,0,True
42,2,8,3,1,3,5,1,0,2,0,2,21272,1,7090.666667,False,False,False,True,True,False,False,False,False,True,False,False,0,2.8264639e-11,0,True
47,3,10,3,3,3,3,4,0,4,0,2,17976,1,5992.0,False,False,False,True,True,False,True,False,False,True,False,False,0,8.669141e-10,0,True
32,1,11,3,4,3,4,4,0,3,1,0,20878,3,6959.333333,True,False,True,False,False,True,False,False,False,True,False,False,0,2.968667e-05,0,True
36,1,32,4,5,2,4,5,0,3,1,2,29581,2,7395.25,True,True,False,False,True,True,False,False,False,False,True,False,0,3.8302973e-05,0,True
35,1,10,3,3,1,3,2,0,4,0,0,16951,3,5650.333333,True,False,True,False,True,True,False,False,True,False,False,False,0,0.00028727116,0,True
35,2,30,3,4,2,5,2,1,3,1,1,28628,2,9542.666667,False,False,True,False,False,True,False,False,False,False,True,False,0,0.00094165775,1,False
40,1,19,4,4,3,4,6,0,3,1,2,23973,2,5993.25,True,False,False,True,True,True,False,False,False,True,False,False,1,0.89230925,0,False
47,1,14,4,4,2,3,8,0,2,0,3,29523,1,7380.75,True,False,False,True,True,True,False,False,False,False,True,False,0,0.0002721424,0,True
42,1,19,3,4,5,3,3,0,4,1,2,38223,1,12741.0,True,True,False,False,False,True,False,False,False,False,False,True,1,0.96651286,1,True
35,1,16,3,4,2,3,2,0,5,1,2,27178,1,9059.333333,True,False,True,False,True,True,False,False,False,False,True,False,0,1.8228143e-08,0,True
31,1,17,2,3,1,3,4,1,3,1,1,17356,1,8678.0,True,False,True,False,True,False,False,False,True,False,False,False,0,0.0069779474,0,True
36,3,24,4,4,3,5,5,1,3,0,3,27644,1,6911.0,True,False,True,False,True,True,False,False,False,True,False,False,0,0.0005508731,0,True
36,1,18,4,5,2,5,4,1,5,1,3,28562,1,7140.5,False,False,False,True,True,True,False,False,False,False,True,False,0,0.0027274662,0,True
34,1,12,4,4,2,4,8,0,3,1,2,30556,2,7639.0,False,False,True,False,False,True,False,False,False,False,True,False,0,7.916622e-06,0,True
27,1,8,2,3,1,3,3,0,3,0,1,17580,1,8790.0,False,False,False,True,True,False,True,False,True,False,False,False,0,9.65962e-06,0,True
39,1,14,3,2,1,3,3,0,3,0,1,21288,2,7096.0,False,False,True,False,True,True,False,False,True,False,False,False,0,0.0019811606,0,True
43,1,9,3,4,3,3,3,0,2,1,1,22767,2,7589.0,True,False,True,False,False,False,False,False,False,True,False,False,0,0.00020307463,0,True
37,1,7,4,6,2,5,4,1,2,1,3,28930,1,7232.5,True,True,False,False,False,True,False,False,False,False,True,False,0,1.177599e-10,0,True
51,1,6,3,3,1,3,2,0,4,1,0,17723,3,5907.666667,True,False,True,False,True,False,False,False,True,False,False,False,0,5.2378628e-06,0,True
53,3,14,3,3,4,3,6,0,3,0,2,26836,1,8945.333333,True,False,False,True,True,False,False,False,False,False,False,False,0,3.2081726e-10,0,True
46,3,33,4,4,3,5,4,0,1,0,3,22964,1,5741.0,False,False,True,False,False,True,False,False,False,True,False,False,0,5.615304e-05,1,False
30,3,17,3,4,1,3,3,0,4,0,1,21320,2,7106.666667,True,False,True,False,True,False,False,True,True,False,False,False,0,0.022217562,0,True
36,1,8,3,3,1,3,5,0,5,1,0,17543,3,5847.666667,True,False,True,False,False,True,False,False,True,False,False,False,0,2.2048687e-09,0,True
25,1,16,3,4,1,5,4,1,3,0,2,21850,1,7283.333333,False,False,False,True,True,False,False,True,True,False,False,False,1,0.9994907,1,True
20,1,6,2,4,1,4,2,0,4,0,1,17836,1,8918.0,True,False,True,False,False,False,True,False,True,False,False,False,1,0.9982031,0,False
44,1,8,2,3,2,3,6,1,1,0,1,25209,1,12604.5,False,False,False,True,True,False,False,True,False,False,True,False,0,1.2707111e-06,0,True
39,1,6,3,3,3,3,2,1,5,1,2,21472,1,7157.333333,False,False,True,False,True,True,False,False,False,True,False,False,0,0.002092541,0,True
41,1,25,2,3,3,5,3,0,2,1,0,18072,2,9036.0,True,False,True,False,True,True,False,False,False,True,False,False,0,1.178817e-05,0,True
32,1,19,4,4,1,3,2,1,4,1,3,22607,1,5651.75,True,False,False,True,False,False,False,False,True,False,False,False,1,0.96299565,0,False
37,3,22,3,6,3,3,3,0,1,1,1,24084,2,8028.0,False,False,False,True,True,True,False,False,False,True,False,False,0,0.0009804247,0,True
31,1,9,3,5,3,3,7,1,1,1,2,25555,1,8518.333333,True,False,False,True,False,False,False,True,False,True,False,False,0,2.3435853e-06,0,True
52,3,9,2,4,4,5,2,0,5,1,0,31856,2,15928.0,True,False,False,True,True,True,False,False,False,False,False,False,0,0.002965251,0,True
53,1,11,2,3,5,3,5,0,4,1,0,34094,2,17047.0,True,False,True,False,False,True,False,False,False,False,False,True,0,3.0207364e-06,0,True
26,3,12,3,5,3,3,3,1,3,1,1,24422,2,8140.666667,True,False,False,True,True,False,False,True,False,True,False,False,1,0.99985534,1,True
38,3,13,4,4,3,3,6,0,3,1,1,25180,3,6295.0,True,False,False,True,True,True,False,False,False,True,False,False,0,0.005309119,0,True
27,1,12,3,5,1,3,3,1,2,0,2,21044,1,7014.666667,False,False,False,True,False,False,False,False,True,False,False,False,1,0.87493193,1,True
51,1,8,2,5,3,4,6,0,2,0,0,20482,2,10241.0,True,False,False,True,True,True,False,False,False,True,False,False,0,0.13453998,0,True
45,1,13,3,2,3,3,5,0,2,0,2,21434,1,7144.666667,False,False,True,False,True,False,False,False,False,True,False,False,0,8.431419e-09,0,True
45,1,6,3,4,2,3,4,0,1,1,2,25748,1,8582.666667,False,False,True,False,True,True,False,False,False,False,True,False,0,9.640705e-05,0,True
29,1,16,4,4,1,3,3,0,1,1,1,20748,3,5187.0,True,False,False,True,True,True,False,False,True,False,False,False,0,2.5974887e-07,0,True
25,3,25,2,4,1,4,2,1,1,0,1,17413,1,8706.5,True,False,False,True,True,True,False,False,True,False,False,False,1,0.999848,1,True
51,1,10,2,3,1,3,1,1,2,1,1,17461,1,8730.5,True,False,True,False,True,False,False,False,True,False,False,False,0,0.014824809,1,False
44,1,34,2,3,4,5,4,0,1,1,0,31328,2,15664.0,True,False,True,False,True,False,False,False,False,False,False,False,0,2.1127803e-06,0,True
30,1,9,2,3,1,5,6,1,4,0,0,17657,2,8828.5,True,True,False,False,False,False,True,False,True,False,False,False,1,0.9977533,1,True
30,1,30,3,4,1,3,2,0,3,0,1,20879,2,6959.666667,True,False,True,False,True,False,True,False,True,False,False,False,0,0.11213721,0,True
48,1,6,2,1,4,3,3,0,2,0,0,31885,2,15942.5,False,False,False,True,True,False,True,False,False,False,False,False,0,4.867979e-09,0,True
42,1,25,2,2,1,3,7,1,3,1,1,17759,1,8879.5,False,False,False,True,True,True,False,False,True,False,False,False,1,0.9952034,1,True
30,1,9,3,5,1,5,2,0,4,1,2,22017,1,7339.0,False,False,False,True,True,False,False,True,True,False,False,False,1,0.9996495,1,True
31,1,32,2,3,1,3,2,0,3,0,1,17911,1,8955.5,True,False,True,False,True,True,False,False,True,False,False,False,0,8.9501367e-07,0,True
55,3,9,3,5,2,3,8,0,5,1,1,29364,2,9788.0,True,False,True,False,False,False,False,False,False,False,True,False,0,2.397203e-10,0,True
33,1,9,3,4,3,3,6,1,5,1,2,23676,1,7892.0,False,False,True,False,False,False,False,True,False,True,False,False,0,0.001149542,0,True
60,3,34,3,4,2,5,5,0,1,1,0,25266,3,8422.0,False,False,False,True,False,True,False,False,False,False,True,False,0,1.0039826e-05,0,True
30,1,24,3,3,1,3,2,0,1,1,2,17632,1,5877.333333,True,False,True,False,False,False,True,False,True,False,False,False,0,0.029082736,0,True
51,1,31,4,4,4,3,5,1,4,0,1,32651,3,8162.75,True,False,True,False,True,False,False,False,False,False,False,False,0,1.836055e-06,0,True
40,1,21,3,4,2,3,2,0,1,1,1,25435,2,8478.333333,True,False,True,False,False,True,False,False,False,False,True,False,0,6.7372107e-06,0,True
52,2,12,3,4,4,4,3,1,3,1,2,32704,1,10901.33333,True,False,True,False,True,True,False,False,False,False,False,False,0,9.871927e-06,0,True
53,1,15,3,5,3,4,4,0,2,1,2,23619,1,7873.0,True,False,False,True,True,False,False,False,False,True,False,False,0,0.15299273,1,False
31,1,10,3,4,1,5,7,1,4,0,1,21335,2,7111.666667,True,True,False,False,False,False,False,True,True,False,False,False,1,0.9999379,1,True
18,3,15,2,3,1,3,2,0,5,0,1,16611,1,8305.5,True,False,False,True,True,False,True,False,True,False,False,False,1,0.99876845,1,True
55,1,14,2,4,4,4,2,1,3,1,1,28577,1,14288.5,False,False,False,True,True,True,False,False,False,False,False,False,0,4.156761e-07,0,True
34,1,33,3,3,1,4,3,0,3,1,0,17311,3,5770.333333,True,False,False,True,False,False,True,False,True,False,False,False,0,0.0151198255,0,True
36,1,7,4,4,1,5,6,0,1,0,2,20872,2,5218.0,False,False,False,True,True,True,False,False,True,False,False,False,0,8.494599e-09,0,True
26,1,12,3,3,1,3,2,1,2,0,0,17659,3,5886.333333,True,False,True,False,False,False,False,False,True,False,False,False,0,0.20523165,0,True
52,1,7,4,4,1,3,3,0,4,1,1,21401,3,5350.25,True,False,True,False,True,False,False,False,True,False,False,False,0,1.907885e-05,0,True
30,1,10,4,5,2,3,3,0,1,0,3,30613,1,7653.25,True,False,False,True,True,True,False,False,False,False,True,False,0,4.1788404e-09,0,True
36,3,35,4,5,1,3,2,0,4,1,3,21108,1,5277.0,True,False,True,False,False,True,False,False,True,False,False,False,0,1.9764466e-05,0,True
23,1,18,3,3,1,3,2,0,5,1,0,17647,3,5882.333333,True,False,True,False,True,False,True,False,True,False,False,False,0,0.040227078,0,True
35,1,16,2,3,3,3,4,1,1,1,0,21142,2,10571.0,True,False,False,True,False,False,True,False,False,True,False,False,0,2.5621579e-05,0,True
37,1,11,3,3,3,3,1,0,3,0,0,21347,3,7115.666667,True,False,False,True,True,True,False,False,False,True,False,False,0,0.0024495414,0,True
36,1,12,2,5,1,3,2,0,2,0,0,17741,2,8870.5,True,False,True,False,True,True,False,False,True,False,False,False,0,0.001112672,0,True
34,1,10,3,4,1,3,3,1,1,1,2,21587,1,7195.666667,False,False,True,False,False,True,False,False,True,False,False,False,0,5.863458e-05,0,True
